MONTADORA;Modelo;VALOR DO DESCONTO;Estado;País;MOTOR
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGCZ2B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGCZ3B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C4 CACTUS 1.6 LIVE 16V Aut. 5-P (1CEAA5EL0M55LEC0);4000;Minas Gerais;Brasil;1.6
HONDA AUTOMÓVEIS DO BRASIL LTDA;CITY Hatch EX;4000;Amazonas;Brasil;1.8
HONDA AUTOMÓVEIS DO BRASIL LTDA;CITY Sedan EX;4000;Amazonas;Brasil;1.8
RENAULT DO BRASIL S.A;DUSTER 1.6 Intense CVT;4000;Paraná;Brasil;1.6
RENAULT DO BRASIL S.A;DUSTER 1.6 Intense MT;4000;Paraná;Brasil;1.6
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT FASTBACK CVT FLEX FWD;4000;Minas Gerais;Brasil;1.8
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT FIORINO 1.4 BUSINESS FLEX 4-P (2651PA1);4000;Minas Gerais;Brasil;1.4
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363A1K0);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363A210);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363A2K0);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363ATK0);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363AVK0);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CD (MT) (281B310);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CD (MT) (281B3C0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CD (MT) (281B9J0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CD (MT) (281BPJ0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 VOLCANO CD (MT) (281B410);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 VOLCANO CD (MT) (281B4C0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 VOLCANO CD (MT) (281B4J0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 VOLCANO CD (MT) (281BRJ0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3VOLCANO CD  (AT)  (281B4A0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3VOLCANO CD  (AT)  (281B4G0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.4 ENDURANCE CAB. PLUS FLEX 2-P (281A220);4000;Minas Gerais;Brasil;1.4
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.4 ENDURANCE CAB. PLUS FLEX 2-P (281A2D0);4000;Minas Gerais;Brasil;1.4
